2025-01-31 7:00:00 AM app tick
2025-01-31 7:00:00 AM A04 GPS realtime calulated
2025-01-31 7:00:00 AM A04 GPS historian calculated
2025-01-31 7:00:00 AM A04 consumtion realtime data calculated
2025-01-31 7:00:00 AM A02 consumtion realtime data calculated
2025-01-31 7:00:00 AM A05 consumtion realtime data calculated
2025-01-31 7:00:00 AM SC_GLORY1 consumtion realtime data calculated
2025-01-31 7:00:00 AM SC_CHOLUEDEE consumtion realtime data calculated
2025-01-31 7:00:00 AM A06 consumtion realtime data calculated
2025-01-31 7:00:00 AM SC_GLORY3 consumtion realtime data calculated
2025-01-31 7:00:00 AM A04 consumtion historian data calculated
2025-01-31 7:00:00 AM A02 consumtion historian data calculated
2025-01-31 7:00:00 AM A05 consumtion historian data calculated
2025-01-31 7:00:00 AM SC_GLORY1 consumtion historian data calculated
2025-01-31 7:00:00 AM SC_CHOLUEDEE consumtion historian data calculated
2025-01-31 7:00:00 AM A06 consumtion historian data calculated
2025-01-31 7:00:00 AM SC_GLORY3 consumtion historian data calculated
2025-01-31 7:00:00 AM SC_SULTAN consumtion realtime data calculated
2025-01-31 7:00:00 AM A01 consumtion realtime data calculated
2025-01-31 7:00:00 AM A07 consumtion realtime data calculated
2025-01-31 7:00:00 AM A02 flowrate realtime data calculated
2025-01-31 7:00:00 AM A09 consumtion realtime data calculated
2025-01-31 7:00:00 AM SC_RAJA consumtion realtime data calculated
2025-01-31 7:00:01 AM BB_GOMEN consumtion realtime data calculated
2025-01-31 7:00:01 AM A01 flowrate realtime data calculated
2025-01-31 7:00:01 AM A03 flowrate realtime data calculated
2025-01-31 7:00:01 AM A04 flowrate realtime data calculated
2025-01-31 7:00:01 AM SC_SULTAN consumtion historian data calculated
2025-01-31 7:00:01 AM A01 consumtion historian data calculated
2025-01-31 7:00:01 AM A07 consumtion historian data calculated
2025-01-31 7:00:01 AM A02 flowrate historian data calculated
2025-01-31 7:00:01 AM A09 consumtion historian data calculated
2025-01-31 7:00:01 AM SC_RAJA consumtion historian data calculated
2025-01-31 7:00:01 AM SC_SULTAN flowrate realtime data calculated
2025-01-31 7:00:01 AM A06 flowrate realtime data calculated
2025-01-31 7:00:01 AM SC_CHOLUEDEE flowrate realtime data calculated
2025-01-31 7:00:01 AM A05 flowrate realtime data calculated
2025-01-31 7:00:01 AM SC_GLORY1 flowrate realtime data calculated
2025-01-31 7:00:01 AM A06 flowrate historian data calculated
2025-01-31 7:00:01 AM SC_CHOLUEDEE flowrate historian data calculated
2025-01-31 7:00:01 AM A05 flowrate historian data calculated
2025-01-31 7:00:01 AM SC_GLORY1 flowrate historian data calculated
2025-01-31 7:00:01 AM BB_GOMEN consumtion historian data calculated
2025-01-31 7:00:01 AM SC_GLORY3 flowrate realtime data calculated
2025-01-31 7:00:01 AM A07 flowrate realtime data calculated
2025-01-31 7:00:01 AM A09 flowrate realtime data calculated
2025-01-31 7:00:01 AM A01 flowrate historian data calculated
2025-01-31 7:00:01 AM SC_RAJA flowrate realtime data calculated
2025-01-31 7:00:01 AM A03 flowrate historian data calculated
2025-01-31 7:00:01 AM BB_GOMEN flowrate realtime data calculated
2025-01-31 7:00:01 AM A04 flowrate historian data calculated
2025-01-31 7:00:01 AM BB_MULIA flowrate realtime data calculated
2025-01-31 7:00:01 AM SC_SULTAN flowrate historian data calculated
2025-01-31 7:00:01 AM A02 spd rpm realtime calulated
2025-01-31 7:00:01 AM A02 spd rpm historian calculated
2025-01-31 7:00:01 AM A01 spd rpm realtime calulated
2025-01-31 7:00:01 AM A03 spd rpm realtime calulated
2025-01-31 7:00:01 AM A04 spd rpm realtime calulated
2025-01-31 7:00:01 AM SC_SULTAN spd rpm realtime calulated
2025-01-31 7:00:01 AM SC_GLORY3 flowrate historian data calculated
2025-01-31 7:00:01 AM A06 spd rpm realtime calulated
2025-01-31 7:00:01 AM A07 flowrate historian data calculated
2025-01-31 7:00:01 AM SC_CHOLUEDEE spd rpm realtime calulated
2025-01-31 7:00:01 AM A09 flowrate historian data calculated
2025-01-31 7:00:01 AM A05 spd rpm realtime calulated
2025-01-31 7:00:01 AM SC_GLORY1 spd rpm realtime calulated
2025-01-31 7:00:01 AM SC_RAJA flowrate historian data calculated
2025-01-31 7:00:01 AM SC_GLORY3 spd rpm realtime calulated
2025-01-31 7:00:01 AM BB_GOMEN flowrate historian data calculated
2025-01-31 7:00:01 AM A07 spd rpm realtime calulated
2025-01-31 7:00:01 AM A09 spd rpm realtime calulated
2025-01-31 7:00:01 AM A03 spd rpm historian calculated
2025-01-31 7:00:01 AM BB_MULIA flowrate historian data calculated
2025-01-31 7:00:01 AM A01 spd rpm historian calculated
2025-01-31 7:00:01 AM A04 spd rpm historian calculated
2025-01-31 7:00:01 AM SC_SULTAN spd rpm historian calculated
2025-01-31 7:00:01 AM A06 spd rpm historian calculated
2025-01-31 7:00:01 AM SC_CHOLUEDEE spd rpm historian calculated
2025-01-31 7:00:01 AM A05 spd rpm historian calculated
2025-01-31 7:00:01 AM SC_GLORY1 spd rpm historian calculated
2025-01-31 7:00:01 AM SC_GLORY3 spd rpm historian calculated
2025-01-31 7:00:01 AM A07 spd rpm historian calculated
2025-01-31 7:00:01 AM A09 spd rpm historian calculated
2025-01-31 7:00:01 AM A03 consumtion realtime data calculated
2025-01-31 7:00:01 AM BB_MULIA consumtion realtime data calculated
2025-01-31 7:00:01 AM BB_MAKMUR consumtion realtime data calculated
2025-01-31 7:00:01 AM BB_JINDAMANEE consumtion realtime data calculated
2025-01-31 7:00:01 AM A03 consumtion historian data calculated
2025-01-31 7:00:01 AM BB_MULIA consumtion historian data calculated
2025-01-31 7:00:01 AM BB_MAKMUR consumtion historian data calculated
2025-01-31 7:00:01 AM BB_JINDAMANEE consumtion historian data calculated
2025-01-31 7:01:00 AM app tick
2025-01-31 7:01:00 AM A01 GPS realtime calulated
2025-01-31 7:01:00 AM A01 GPS historian calculated
2025-01-31 7:01:00 AM SC_SULTAN consumtion realtime data calculated
2025-01-31 7:01:00 AM SC_SULTAN consumtion historian data calculated
2025-01-31 7:01:00 AM A07 consumtion realtime data calculated
2025-01-31 7:01:00 AM A09 consumtion realtime data calculated
2025-01-31 7:01:00 AM SC_GLORY3 consumtion realtime data calculated
2025-01-31 7:01:00 AM A05 consumtion realtime data calculated
2025-01-31 7:01:00 AM BB_GOMEN consumtion realtime data calculated
2025-01-31 7:01:00 AM SC_CHOLUEDEE consumtion realtime data calculated
2025-01-31 7:01:00 AM A07 consumtion historian data calculated
2025-01-31 7:01:00 AM A09 consumtion historian data calculated
2025-01-31 7:01:00 AM SC_GLORY3 consumtion historian data calculated
2025-01-31 7:01:00 AM A05 consumtion historian data calculated
2025-01-31 7:01:00 AM BB_GOMEN consumtion historian data calculated
2025-01-31 7:01:00 AM SC_CHOLUEDEE consumtion historian data calculated
2025-01-31 7:01:00 AM SC_RAJA consumtion realtime data calculated
2025-01-31 7:01:00 AM SC_GLORY1 consumtion realtime data calculated
