2025-02-03 2:28:07 PM app start
2025-02-03 2:29:00 PM app tick
2025-02-03 2:29:00 PM A06 GPS realtime calulated
2025-02-03 2:29:00 PM A06 GPS historian calculated
2025-02-03 2:29:00 PM A01 consumtion realtime data calculated
2025-02-03 2:29:00 PM A02 flowrate realtime data calculated
2025-02-03 2:29:00 PM SC_GLORY1 consumtion realtime data calculated
2025-02-03 2:29:00 PM A01 flowrate realtime data calculated
2025-02-03 2:29:00 PM A03 flowrate realtime data calculated
2025-02-03 2:29:00 PM A01 consumtion historian data calculated
2025-02-03 2:29:00 PM A02 flowrate historian data calculated
2025-02-03 2:29:00 PM SC_GLORY1 consumtion historian data calculated
2025-02-03 2:29:01 PM A01 flowrate historian data calculated
2025-02-03 2:29:01 PM A03 flowrate historian data calculated
2025-02-03 2:29:01 PM SC_GLORY3 consumtion realtime data calculated
2025-02-03 2:29:01 PM A03 consumtion realtime data calculated
2025-02-03 2:29:01 PM A07 consumtion realtime data calculated
2025-02-03 2:29:01 PM SC_SULTAN flowrate realtime data calculated
2025-02-03 2:29:01 PM A04 flowrate realtime data calculated
2025-02-03 2:29:01 PM A09 consumtion realtime data calculated
2025-02-03 2:29:01 PM A05 consumtion realtime data calculated
2025-02-03 2:29:01 PM SC_CHOLUEDEE flowrate realtime data calculated
2025-02-03 2:29:01 PM A06 flowrate realtime data calculated
2025-02-03 2:29:01 PM A04 consumtion realtime data calculated
2025-02-03 2:29:01 PM SC_GLORY3 consumtion historian data calculated
2025-02-03 2:29:01 PM A02 consumtion realtime data calculated
2025-02-03 2:29:01 PM A03 consumtion historian data calculated
2025-02-03 2:29:01 PM SC_SULTAN consumtion realtime data calculated
2025-02-03 2:29:01 PM A06 consumtion realtime data calculated
2025-02-03 2:29:01 PM A07 consumtion historian data calculated
2025-02-03 2:29:01 PM SC_CHOLUEDEE consumtion realtime data calculated
2025-02-03 2:29:01 PM SC_SULTAN flowrate historian data calculated
2025-02-03 2:29:01 PM SC_RAJA consumtion realtime data calculated
2025-02-03 2:29:01 PM A05 spd rpm realtime calulated
2025-02-03 2:29:01 PM A04 flowrate historian data calculated
2025-02-03 2:29:01 PM A09 consumtion historian data calculated
2025-02-03 2:29:01 PM A05 consumtion historian data calculated
2025-02-03 2:29:01 PM SC_CHOLUEDEE flowrate historian data calculated
2025-02-03 2:29:01 PM A06 flowrate historian data calculated
2025-02-03 2:29:01 PM A04 consumtion historian data calculated
2025-02-03 2:29:01 PM A09 flowrate realtime data calculated
2025-02-03 2:29:01 PM A05 flowrate realtime data calculated
2025-02-03 2:29:01 PM BB_MULIA consumtion realtime data calculated
2025-02-03 2:29:01 PM A02 consumtion historian data calculated
2025-02-03 2:29:01 PM A02 spd rpm realtime calulated
2025-02-03 2:29:01 PM SC_RAJA flowrate realtime data calculated
2025-02-03 2:29:01 PM SC_SULTAN consumtion historian data calculated
2025-02-03 2:29:01 PM SC_GLORY3 spd rpm realtime calulated
2025-02-03 2:29:01 PM A06 consumtion historian data calculated
2025-02-03 2:29:01 PM SC_CHOLUEDEE consumtion historian data calculated
2025-02-03 2:29:01 PM SC_SULTAN spd rpm realtime calulated
2025-02-03 2:29:01 PM SC_GLORY1 flowrate realtime data calculated
2025-02-03 2:29:01 PM SC_GLORY3 flowrate realtime data calculated
2025-02-03 2:29:01 PM SC_RAJA consumtion historian data calculated
2025-02-03 2:29:01 PM A05 spd rpm historian calculated
2025-02-03 2:29:01 PM SC_CHOLUEDEE spd rpm realtime calulated
2025-02-03 2:29:01 PM A07 flowrate realtime data calculated
2025-02-03 2:29:01 PM SC_GLORY1 spd rpm realtime calulated
2025-02-03 2:29:01 PM A07 spd rpm realtime calulated
2025-02-03 2:29:01 PM A09 flowrate historian data calculated
2025-02-03 2:29:01 PM BB_MULIA flowrate realtime data calculated
2025-02-03 2:29:01 PM A01 spd rpm realtime calulated
2025-02-03 2:29:01 PM A05 flowrate historian data calculated
2025-02-03 2:29:01 PM BB_MULIA consumtion historian data calculated
2025-02-03 2:29:01 PM A03 spd rpm realtime calulated
2025-02-03 2:29:01 PM A04 spd rpm realtime calulated
2025-02-03 2:29:01 PM A02 spd rpm historian calculated
2025-02-03 2:29:01 PM A06 spd rpm realtime calulated
2025-02-03 2:29:01 PM SC_RAJA flowrate historian data calculated
2025-02-03 2:29:01 PM A09 spd rpm realtime calulated
2025-02-03 2:29:01 PM SC_GLORY3 spd rpm historian calculated
2025-02-03 2:29:01 PM BB_JINDAMANEE consumtion realtime data calculated
2025-02-03 2:29:01 PM SC_SULTAN spd rpm historian calculated
2025-02-03 2:29:01 PM SC_GLORY1 flowrate historian data calculated
2025-02-03 2:29:01 PM SC_GLORY3 flowrate historian data calculated
2025-02-03 2:29:01 PM SC_CHOLUEDEE spd rpm historian calculated
2025-02-03 2:29:01 PM A07 flowrate historian data calculated
2025-02-03 2:29:01 PM SC_GLORY1 spd rpm historian calculated
2025-02-03 2:29:01 PM A07 spd rpm historian calculated
2025-02-03 2:29:01 PM BB_MULIA flowrate historian data calculated
2025-02-03 2:29:01 PM A01 spd rpm historian calculated
2025-02-03 2:29:01 PM A03 spd rpm historian calculated
2025-02-03 2:29:01 PM A04 spd rpm historian calculated
2025-02-03 2:29:01 PM A06 spd rpm historian calculated
2025-02-03 2:29:01 PM BB_GOMEN consumtion realtime data calculated
2025-02-03 2:29:01 PM A09 spd rpm historian calculated
2025-02-03 2:29:01 PM BB_JINDAMANEE consumtion historian data calculated
